time,R1_ch1,R1_ch2,R1_ch3,R1_ch4,R1_ch5,R2_ch1,R2_ch2,R2_ch3,R2_ch4,R2_ch5
2026-06-14T16:47:58.082371,282.585,266.117,368.944,84.891,584.892,267.815,295.324,295.324,243.268,510.86
2026-06-14T16:48:58.096624,277.086,249.739,354.881,97.344,593.7,270.555,289.803,298.087,245.985,522.469
2026-06-14T16:49:58.110775,277.086,266.117,357.69,97.344,587.826,276.042,287.046,298.087,248.704,510.86
2026-06-14T16:50:58.127009,268.856,249.739,366.127,92.345,581.958,284.292,278.79,281.54,251.427,525.374
2026-06-14T16:51:58.139131,279.834,263.381,363.313,82.419,587.826,273.297,292.562,295.324,243.268,528.281
2026-06-14T16:52:58.154670,268.856,249.739,366.127,89.854,581.958,287.046,273.297,300.853,235.132,522.469
2026-06-14T16:53:58.166404,274.34,260.648,366.127,84.891,593.7,273.297,287.046,303.621,243.268,519.564
2026-06-14T16:54:58.178301,282.585,263.381,377.404,79.954,581.958,276.042,278.79,295.324,235.132,525.374
2026-06-14T16:55:58.195945,279.834,266.117,357.69,94.841,587.826,267.815,278.79,278.79,237.841,525.374
2026-06-14T16:56:58.208282,293.611,252.462,357.69,87.369,593.7,273.297,281.54,295.324,240.553,522.469
2026-06-14T16:57:58.222960,288.094,271.597,366.127,84.891,587.826,273.297,287.046,284.292,240.553,528.281
2026-06-14T16:58:58.236504,279.834,263.381,357.69,92.345,590.762,273.297,287.046,292.562,245.985,519.564
2026-06-14T16:59:58.249999,282.585,271.597,354.881,97.344,587.826,284.292,287.046,292.562,237.841,510.86
2026-06-14T17:00:58.263944,282.585,263.381,371.762,99.852,587.826,265.077,289.803,295.324,243.268,522.469
2026-06-14T17:01:58.270541,274.34,260.648,357.69,97.344,602.519,265.077,273.297,284.292,245.985,525.374
2026-06-14T17:02:58.281403,277.086,268.856,366.127,89.854,584.892,278.79,287.046,292.562,237.841,513.76
2026-06-14T17:03:58.295382,288.094,263.381,374.582,97.344,584.892,265.077,278.79,284.292,232.426,522.469
2026-06-14T17:04:58.308161,279.834,260.648,363.313,92.345,590.762,278.79,281.54,289.803,237.841,516.662
2026-06-14T17:05:58.323197,279.834,249.739,377.404,97.344,590.762,278.79,284.292,289.803,240.553,522.469
2026-06-14T17:06:58.334610,277.086,260.648,354.881,89.854,584.892,287.046,292.562,298.087,235.132,505.065
2026-06-14T17:07:58.350659,277.086,260.648,371.762,82.419,596.638,265.077,281.54,287.046,235.132,510.86
2026-06-14T17:08:58.362149,277.086,255.188,354.881,94.841,579.026,276.042,278.79,289.803,237.841,528.281
2026-06-14T17:09:58.377978,274.34,263.381,368.944,92.345,602.519,281.54,278.79,298.087,243.268,513.76
2026-06-14T17:10:58.390063,279.834,263.381,368.944,82.419,587.826,281.54,287.046,278.79,229.723,525.374
2026-06-14T17:11:58.402845,277.086,266.117,371.762,87.369,579.026,276.042,284.292,295.324,237.841,513.76
2026-06-14T17:12:58.416520,282.585,274.34,366.127,84.891,587.826,267.815,284.292,292.562,248.704,534.1
2026-06-14T17:13:58.430168,285.338,266.117,360.5,79.954,590.762,276.042,284.292,292.562,240.553,522.469
2026-06-14T17:14:58.445644,282.585,266.117,371.762,87.369,579.026,273.297,289.803,289.803,240.553,516.662
2026-06-14T17:15:58.457802,296.374,249.739,363.313,92.345,573.166,267.815,270.555,281.54,248.704,528.281
2026-06-14T17:16:58.472645,293.611,268.856,360.5,84.891,590.762,276.042,276.042,278.79,240.553,528.281
2026-06-14T17:17:58.485669,271.597,266.117,366.127,87.369,602.519,270.555,284.292,295.324,243.268,528.281
2026-06-14T17:18:58.502196,279.834,268.856,357.69,84.891,593.7,267.815,278.79,298.087,243.268,525.374
2026-06-14T17:19:58.514940,271.597,252.462,363.313,87.369,581.958,276.042,276.042,287.046,243.268,522.469
2026-06-14T17:20:58.528096,282.585,255.188,363.313,89.854,590.762,281.54,276.042,300.853,245.985,519.564
2026-06-14T17:21:58.539518,288.094,271.597,374.582,87.369,593.7,267.815,287.046,292.562,240.553,531.19
2026-06-14T17:22:58.553463,288.094,266.117,363.313,77.495,581.958,267.815,289.803,284.292,243.268,510.86
2026-06-14T17:23:58.569666,288.094,255.188,349.27,94.841,584.892,273.297,284.292,287.046,243.268,531.19
2026-06-14T17:24:58.583355,282.585,266.117,363.313,97.344,573.166,276.042,287.046,292.562,237.841,519.564
2026-06-14T17:25:58.596404,279.834,274.34,371.762,87.369,590.762,278.79,278.79,292.562,240.553,519.564
2026-06-14T17:26:58.609845,277.086,268.856,371.762,82.419,573.166,284.292,270.555,278.79,245.985,516.662
2026-06-14T17:27:58.622998,282.585,266.117,371.762,89.854,579.026,270.555,284.292,298.087,227.022,519.564
2026-06-14T17:28:58.635696,274.34,249.739,360.5,102.365,596.638,273.297,287.046,295.324,245.985,519.564
2026-06-14T17:29:58.651281,279.834,266.117,366.127,94.841,596.638,276.042,281.54,295.324,251.427,522.469
2026-06-14T17:30:58.665456,285.338,260.648,374.582,87.369,599.578,276.042,287.046,292.562,240.553,513.76
2026-06-14T17:31:58.675464,268.856,266.117,371.762,87.369,587.826,281.54,292.562,292.562,224.324,507.962
2026-06-14T17:32:58.690617,285.338,249.739,371.762,97.344,593.7,270.555,295.324,287.046,245.985,528.281
2026-06-14T17:33:58.705921,282.585,249.739,363.313,94.841,573.166,276.042,281.54,289.803,232.426,519.564
2026-06-14T17:34:58.718984,279.834,263.381,363.313,99.852,584.892,273.297,292.562,295.324,237.841,519.564
2026-06-14T17:35:58.731142,293.611,260.648,377.404,87.369,596.638,267.815,284.292,284.292,229.723,519.564
2026-06-14T17:36:58.744533,279.834,252.462,366.127,84.891,599.578,273.297,278.79,284.292,243.268,525.374
2026-06-14T17:37:58.761204,285.338,266.117,374.582,87.369,576.096,281.54,287.046,298.087,232.426,510.86
2026-06-14T17:38:58.773581,282.585,260.648,371.762,89.854,593.7,278.79,281.54,289.803,245.985,510.86
2026-06-14T17:39:58.774071,271.597,268.856,363.313,97.344,599.578,273.297,284.292,295.324,227.022,522.469
2026-06-14T17:40:58.793877,290.851,268.856,357.69,92.345,596.638,262.342,287.046,298.087,232.426,525.374
2026-06-14T17:41:58.807473,282.585,268.856,368.944,84.891,590.762,276.042,284.292,303.621,229.723,507.962
2026-06-14T17:42:58.821422,277.086,260.648,357.69,84.891,590.762,270.555,287.046,303.621,240.553,516.662
2026-06-14T17:43:58.835642,274.34,266.117,366.127,84.891,590.762,273.297,278.79,284.292,235.132,528.281
2026-06-14T17:44:58.850895,282.585,260.648,377.404,97.344,596.638,284.292,292.562,295.324,237.841,531.19
2026-06-14T17:45:58.861350,293.611,257.916,352.075,99.852,590.762,281.54,273.297,287.046,251.427,510.86
2026-06-14T17:46:58.878395,285.338,257.916,360.5,79.954,581.958,262.342,289.803,295.324,235.132,510.86
