timestamp,sensor_group,channel,raw_adc,raw_voltage_v,delta_voltage_v,dose_rad
2026-06-14T01:09:46.181356,R2,1,1605,1.959707,0.129707,265.077
2026-06-14T01:09:46.193574,R2,2,1614,1.970696,0.140696,289.803
2026-06-14T01:09:46.205483,R2,3,1615,1.971917,0.141917,292.562
2026-06-14T01:09:46.217385,R2,4,1598,1.95116,0.12116,245.985
2026-06-14T01:09:46.229340,R2,5,1697,2.072039,0.242039,525.374
2026-06-14T01:10:46.194222,R2,1,1610,1.965812,0.135812,278.79
2026-06-14T01:10:46.206351,R2,2,1614,1.970696,0.140696,289.803
2026-06-14T01:10:46.218538,R2,3,1618,1.97558,0.14558,300.853
2026-06-14T01:10:46.230446,R2,4,1598,1.95116,0.12116,245.985
2026-06-14T01:10:46.242337,R2,5,1696,2.070818,0.240818,522.469
2026-06-14T01:11:46.207634,R2,1,1610,1.965812,0.135812,278.79
2026-06-14T01:11:46.219567,R2,2,1616,1.973138,0.143138,295.324
2026-06-14T01:11:46.231643,R2,3,1614,1.970696,0.140696,289.803
2026-06-14T01:11:46.243767,R2,4,1595,1.947497,0.117497,237.841
2026-06-14T01:11:46.255870,R2,5,1693,2.067155,0.237155,513.76
2026-06-14T01:12:46.217291,R2,1,1609,1.964591,0.134591,276.042
2026-06-14T01:12:46.229338,R2,2,1613,1.969475,0.139475,287.046
2026-06-14T01:12:46.241298,R2,3,1618,1.97558,0.14558,300.853
